iter	Passed	Remaining
402	11144	16509
403	11172	16482
404	11198	16452
405	11225	16423
406	11251	16392
407	11282	16370
408	11308	16341
409	11336	16313
410	11365	16287
411	11395	16263
412	11425	16239
413	11457	16216
414	11486	16191
415	11514	16164
416	11543	16138
417	11574	16115
418	11602	16088
419	11631	16062
420	11660	16036
421	11691	16013
422	11720	15988
423	11748	15959
424	11778	15935
425	11807	15909
426	11837	15885
427	11865	15858
428	11893	15829
429	11921	15803
430	11951	15778
431	11984	15757
432	12012	15729
433	12041	15703
434	12067	15674
435	12093	15643
436	12121	15616
437	12149	15589
438	12176	15560
439	12202	15529
440	12227	15499
441	12254	15470
442	12279	15439
443	12306	15410
444	12332	15380
445	12357	15349
446	12384	15321
447	12409	15290
448	12436	15261
449	12463	15233
450	12489	15203
451	12516	15174
452	12543	15146
453	12573	15121
454	12603	15097
455	12630	15068
456	12659	15042
457	12692	15020
458	12721	14993
459	12749	14966
460	12777	14939
461	12804	14910
462	12830	14880
463	12855	14850
464	12882	14822
465	12908	14791
466	12934	14762
467	12960	14733
468	12986	14702
469	13011	14672
470	13036	14641
471	13063	14612
472	13088	14582
473	13113	14551
474	13138	14521
475	13164	14491
476	13189	14461
477	13215	14432
478	13240	14401
479	13267	14373
480	13294	14344
481	13320	14315
482	13345	14284
483	13370	14254
484	13396	14225
485	13425	14198
486	13450	14168
487	13474	14137
488	13499	14107
489	13525	14077
490	13553	14050
491	13581	14023
492	13611	13997
493	13639	13970
494	13667	13943
495	13698	13919
496	13727	13893
497	13759	13870
498	13786	13841
499	13813	13813
500	13843	13788
501	13874	13763
502	13903	13737
503	13933	13712
504	13961	13685
505	13989	13658
506	14016	13629
507	14046	13604
508	14074	13577
509	14102	13548
510	14135	13526
511	14162	13498
512	14190	13471
513	14218	13444
514	14246	13416
515	14274	13389
516	14300	13360
517	14329	13333
518	14354	13303
519	14381	13275
520	14408	13247
521	14437	13220
522	14463	13191
523	14491	13164
524	14517	13134
525	14543	13105
526	14568	13075
527	14593	13045
528	14619	13016
529	14645	12987
530	14672	12959
531	14697	12929
532	14726	12903
533	14753	12874
534	14781	12847
535	14813	12823
536	14844	12798
537	14875	12774
538	14904	12747
539	14934	12722
540	14964	12696
541	14991	12667
542	15018	12639
543	15044	12610
544	15072	12583
545	15098	12554
546	15122	12524
547	15149	12495
548	15175	12466
549	15201	12437
550	15227	12408
551	15254	12380
552	15283	12353
553	15308	12324
554	15334	12295
555	15360	12266
556	15387	12238
557	15412	12208
558	15438	12179
559	15466	12152
560	15493	12124
561	15518	12094
562	15545	12066
563	15571	12037
564	15596	12008
565	15622	11978
566	15650	11951
567	15675	11922
568	15700	11893
569	15726	11863
570	15753	11835
571	15781	11808
572	15808	11780
573	15836	11752
574	15870	11730
575	15904	11707
576	15934	11681
577	15963	11655
578	15992	11628
579	16019	11600
580	16048	11573
581	16076	11546
582	16103	11518
583	16133	11492
584	16163	11466
585	16195	11441
586	16224	11414
587	16250	11386
588	16277	11358
589	16307	11332
590	16337	11306
591	16366	11279
592	16395	11252
593	16424	11226
594	16453	11199
595	16484	11174
596	16514	11147
597	16541	11120
598	16569	11092
599	16595	11063
600	16621	11034
601	16649	11007
602	16677	10980
603	16704	10951
604	16733	10925
605	16758	10895
606	16783	10866
607	16809	10837
608	16834	10808
609	16860	10779
610	16886	10751
611	16913	10722
612	16940	10695
613	16967	10666
614	16993	10638
615	17021	10610
616	17048	10582
617	17078	10556
618	17108	10530
619	17137	10503
620	17165	10476
621	17195	10449
622	17222	10422
623	17248	10393
