iter	MultiClass
0	2.013683442
1	1.832747065
2	1.707636671
3	1.599859598
4	1.516642588
5	1.448030306
6	1.394482434
7	1.337498428
8	1.294902899
9	1.25342602
10	1.217561353
11	1.185974712
12	1.157060901
13	1.13120207
14	1.107167923
15	1.086715554
16	1.069404271
17	1.052852048
18	1.039134423
19	1.024556282
20	1.013474783
21	1.000759448
22	0.9911823991
23	0.9803230671
24	0.9726320026
25	0.9647782262
26	0.9581624714
27	0.953310388
28	0.947077917
29	0.9414530866
30	0.9359759312
31	0.9299155583
32	0.9247618499
33	0.920261441
34	0.9165412343
35	0.9127562443
36	0.9088034169
37	0.9057615007
38	0.901881651
39	0.8978958203
40	0.8955529361
41	0.8927420011
42	0.8903644876
43	0.8877498904
44	0.8850612808
45	0.8833424612
46	0.8817497586
47	0.8793915207
48	0.8776312908
49	0.876052275
50	0.8742375509
51	0.8729767086
52	0.8714320844
53	0.8697375539
54	0.8687973005
55	0.8675313367
56	0.8664901073
57	0.8653042393
58	0.8637105717
59	0.8625640642
60	0.8617549117
61	0.8608499193
62	0.859618337
63	0.8586851319
64	0.8572386975
65	0.8563608274
66	0.8558013433
67	0.854506506
68	0.8537965569
69	0.8525628337
70	0.8518442335
71	0.8510589774
72	0.8506226198
73	0.8499558895
74	0.8492765547
75	0.848412176
76	0.8474305953
77	0.8470074476
78	0.8463871918
79	0.8455344879
80	0.8443371817
81	0.8437793736
82	0.8430446507
83	0.8419464744
84	0.8415119841
85	0.8406283615
86	0.8402496553
87	0.8397700458
88	0.8393150054
89	0.8383222719
90	0.8376515697
91	0.8373219435
92	0.8370323679
93	0.8366444637
94	0.8362915469
95	0.8360063479
96	0.8353001083
97	0.8346387209
98	0.8342159906
99	0.8338327758
100	0.833232433
101	0.8329278045
102	0.8325782122
103	0.8323152422
104	0.8320665011
105	0.8318131639
106	0.8315533341
107	0.8312356979
108	0.8308150151
109	0.8304740714
110	0.8299819133
111	0.8296007752
112	0.8294373467
113	0.8291457402
114	0.8288587006
115	0.828705537
116	0.8282606096
117	0.8279295253
118	0.8276642501
119	0.8271288057
120	0.8270049861
121	0.8268567006
122	0.8266239804
123	0.8264871751
124	0.8263203528
125	0.8260844377
126	0.8259852036
127	0.8257179502
128	0.8254787253
129	0.8250743945
130	0.8248307484
131	0.8245654582
132	0.8244210466
133	0.8242964673
134	0.8241399411
135	0.8238052818
136	0.8234948387
137	0.8232251975
138	0.823010578
139	0.8226906314
140	0.8223940612
141	0.8222430148
142	0.8221145519
143	0.8220580318
144	0.8218583074
145	0.8215739946
146	0.8215018732
147	0.8213268047
148	0.8210015685
149	0.8208394474
150	0.8205605219
151	0.8203574935
152	0.8201772888
153	0.8199848476
154	0.8198776995
155	0.8197330995
156	0.8196112096
157	0.8193733264
158	0.81919245
159	0.8190815465
160	0.8188866533
161	0.8187549664
162	0.8185238609
163	0.8183718014
164	0.8182863751
165	0.8182042848
166	0.817996111
167	0.8179273462
168	0.817733839
169	0.8174605933
170	0.8173643081
171	0.8171743146
172	0.8170227457
173	0.8169403231
174	0.8168886099
175	0.8168529343
176	0.8167862544
177	0.8165950332
178	0.8164984167
179	0.816346096
180	0.81612509
181	0.8159390286
182	0.8158228403
183	0.8157288283
184	0.8155416834
185	0.8153794177
186	0.8151925736
187	0.8151068968
188	0.8150110478
189	0.8149169765
190	0.8147504616
191	0.8145633711
192	0.814463159
193	0.8143229478
194	0.8141775862
195	0.814111998
196	0.8139748559
197	0.8138321237
198	0.8137000353
199	0.8136101258
200	0.8135242071
201	0.8134435647
202	0.8134137112
203	0.8133149131
204	0.8132266535
205	0.8130936577
206	0.8129562477
207	0.8128705539
208	0.812821811
209	0.812738188
210	0.8126715512
211	0.8125796284
212	0.8125094513
213	0.812425279
214	0.8123630603
215	0.8122313656
216	0.8121691495
217	0.8120955508
218	0.8119287837
219	0.8118417229
220	0.8118054366
221	0.8116937621
222	0.8116332695
223	0.8114976021
224	0.8114563304
225	0.8113422835
226	0.8112056451
227	0.8110723912
228	0.8110067501
229	0.8109457499
230	0.8108028966
231	0.8106769717
232	0.8106069214
233	0.8104874972
234	0.8103983039
