opened file for ticker:  D
Data for D
2016 Monday [0.0016079716230270047, 0.010402689899163708, 19, -0.007724629259754374, 0.007158763364989473, 27, 0.008175357429428716, 0.0066244432233714045]
2016 Tuesday [0.0006673907740614907, 0.009427811960071183, 25, -0.007310719701664703, 0.005096571427253908, 27, 0.008054530103437596, 0.005798887747115817]
2016 Wednesday [-0.0011204060487062623, 0.010635666871349914, 25, -0.009073132724413293, 0.009047916488978739, 27, 0.0062432297621335805, 0.0054102590363323735]
2016 Thursday [0.0014565345309263187, 0.009911159255935402, 19, -0.008191696995717663, 0.007921150251761993, 32, 0.007185171999871183, 0.00558682856830309]
2016 Friday [0.0010679083320880257, 0.01168939651178186, 21, -0.009831739851253513, 0.009053386280155826, 30, 0.008697662060427103, 0.005791541147266453]
2017 Monday [0.00036881721079108464, 0.007395882156801552, 21, -0.005715542671900659, 0.005744636366846426, 25, 0.005479679512252149, 0.00396337527966118]
2017 Tuesday [9.967291072065193e-05, 0.007944764379404645, 26, -0.005622624403969567, 0.005308597839116789, 25, 0.006050862117998479, 0.0054757416731681325]
2017 Wednesday [-0.001149313447377351, 0.011074875339248341, 25, -0.008979073929122441, 0.0109250612588869, 27, 0.006100464776460695, 0.004047383346730376]
2017 Thursday [0.001580647627636059, 0.006644958213319365, 22, -0.00429422833270278, 0.004101204103845349, 29, 0.006037450080306902, 0.004341263359803901]
2017 Friday [0.0011741376016502787, 0.0058483101343144595, 22, -0.004052320792511529, 0.0025142303660212234, 29, 0.005139037073083374, 0.00434871371826609]
2018 Monday [-0.00108623904239231, 0.013787638802847658, 23, -0.011720686973989425, 0.012350000499179883, 25, 0.008697453054677036, 0.004990445094004577]
2018 Tuesday [0.0001112176628491547, 0.010147325718894547, 25, -0.007992796745011885, 0.006675998268932764, 26, 0.007903539208869385, 0.0059373393720170906]
2018 Wednesday [-0.003962576758297392, 0.01095283197591075, 32, -0.010243105312071878, 0.007761563395522651, 18, 0.0072028073373016956, 0.005598913636423008]
2018 Thursday [0.0018451879342616633, 0.010783407951911652, 20, -0.008358973023588252, 0.00779324891234899, 31, 0.008428517584487415, 0.006449897580743214]
2018 Friday [0.0017225167677098103, 0.00985510827608409, 22, -0.007261844342729867, 0.004560448860486646, 29, 0.008538238989422669, 0.006880134969896396]
2019 Monday [-0.0016464635267690643, 0.008703831818582867, 26, -0.008070986681635221, 0.0059664489786772365, 22, 0.0059461547471636655, 0.004097504780235418]
2019 Tuesday [7.905082391803781e-05, 0.009625898233156713, 21, -0.008917013090735655, 0.007403769996130611, 31, 0.006173158637070539, 0.005131448024905921]
2019 Wednesday [0.0008564912756281985, 0.009237123494956914, 26, -0.005937327014154239, 0.006465441492759373, 25, 0.007922062297001932, 0.005715187521475142]
2019 Thursday [0.002500993653028152, 0.008028619368270182, 20, -0.00523671377194006, 0.003634074797145062, 30, 0.007659465269673626, 0.0056658898945737375]
2019 Friday [0.002181025298110573, 0.00866552713387617, 20, -0.005700947444596388, 0.006215470942511793, 31, 0.007266169003082806, 0.005716102431751933]
2020 Monday [-0.002757392618616033, 0.03600154101344203, 19, -0.02880048443155882, 0.04045100616554366, 29, 0.014305322707105104, 0.01837761981649457]
2020 Tuesday [0.005825659167828328, 0.03165809590481474, 23, -0.012789967942376152, 0.012686209494354762, 29, 0.020589777220749124, 0.034302282763629184]
2020 Wednesday [0.001810060890487054, 0.020101165722622622, 26, -0.011853944993364802, 0.01272891889053208, 26, 0.015474066774338909, 0.016512971783027325]
2020 Thursday [-0.00401880990279621, 0.027321045161758165, 25, -0.02137506491553612, 0.026106313692164863, 26, 0.012669896840222931, 0.015513763897722382]
2020 Friday [-0.00059577983487873, 0.022489364401586474, 27, -0.013685951215605755, 0.014246023772891466, 22, 0.01546943049601353, 0.02022448376644024]
opened file for ticker:  SPY
Data for SPY
2016 Monday [0.000777254938282616, 0.007134404079588479, 20, -0.004818212573761899, 0.005123521642401406, 26, 0.0050814607167783965, 0.0052201963797221425]
2016 Tuesday [0.0010523271063052108, 0.008369888535623296, 20, -0.006987644503716639, 0.004894104038016065, 32, 0.006077309362568867, 0.005763515428466042]
2016 Wednesday [0.0006419801511245438, 0.007560463100539594, 24, -0.005432501775134361, 0.0056216072279572215, 28, 0.005848678945060748, 0.0045088651173855136]
2016 Thursday [0.00041925117313655044, 0.00679030022166136, 23, -0.004775569747691502, 0.005407380016133708, 28, 0.004686425500959593, 0.004425877852390853]
2016 Friday [-0.0001845734351861926, 0.010318400813954834, 26, -0.0068482994825481746, 0.008579965493427766, 25, 0.006745701654070268, 0.0068137331108259645]
2017 Monday [0.0013400559424764078, 0.0038862547161687255, 20, -0.0017897384852168408, 0.0015499024398481288, 26, 0.0037475901176250606, 0.0033972779120305906]
2017 Tuesday [0.0004174467247322959, 0.004414687507343234, 23, -0.003173726232614423, 0.0029709478938993116, 28, 0.0033673387968385293, 0.0029921345031218073]
2017 Wednesday [0.0010821028910073015, 0.004456129005950929, 19, -0.0025788409002662654, 0.003917514953503868, 33, 0.003189919013255719, 0.0032084826137261852]
2017 Thursday [-0.00020847668168773125, 0.004929716912855054, 25, -0.0037726525766806907, 0.004070364124857574, 26, 0.003218615525036268, 0.002789114948349961]
2017 Friday [0.0013764233263549835, 0.002994528195395692, 20, -0.0015728517490074035, 0.0009411416606206588, 31, 0.0032791814394920074, 0.002224588336716042]
2018 Monday [-0.000850810736895471, 0.011864875417625934, 21, -0.01067132344041872, 0.010195206978394069, 27, 0.006787365810289278, 0.0060058825281032475]
