Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-16,2016,2,16,Tuesday,07,2016-07,69.49,69.56,68.56,69.15,2385500,50.15,0.0030461945647484168,50.86285714285714,50.42666666666666
2016-02-17,2016,2,17,Wednesday,07,2016-07,69.46,69.83,68.8,69.77,2584000,50.6,0.00896577570264201,50.86571428571428,50.432258064516134
2016-02-18,2016,2,18,Thursday,07,2016-07,69.31,70.21,69.19,69.75,6190800,50.59,-0.0002864004923766039,50.80428571428571,50.4371875
2016-02-19,2016,2,19,Friday,07,2016-07,69.55,69.77,69.0,69.46,4156600,50.38,-0.004157880460540886,50.66428571428571,50.43545454545455
2016-02-22,2016,2,22,Monday,08,2016-08,69.78,70.78,69.62,70.74,2529900,51.3,0.01842756456943695,50.692857142857136,50.46088235294118
2016-02-23,2016,2,23,Tuesday,08,2016-08,70.39,71.19,70.27,70.88,2559200,51.41,0.0019793955783511397,50.744285714285716,50.488
2016-02-24,2016,2,24,Wednesday,08,2016-08,70.92,71.3,70.33,71.22,3482700,51.65,0.004796939314955395,50.81071428571429,50.52027777777778
2016-02-25,2016,2,25,Thursday,08,2016-08,71.34,71.87,71.16,71.83,2114900,52.09,0.008564717608552375,50.88285714285714,50.5627027027027
2016-02-26,2016,2,26,Friday,08,2016-08,71.6,71.75,69.91,70.02,2800500,50.78,-0.02519821090461849,50.82857142857143,50.56842105263158
2016-02-29,2016,2,29,Monday,09,2016-09,70.01,70.73,69.85,69.92,3622000,50.71,-0.001428016297564616,50.85071428571429,50.572051282051284
2016-03-01,2016,3,1,Tuesday,09,2016-09,70.33,70.42,69.56,69.95,2510000,50.73,0.0004290175332988255,50.825714285714284,50.576
2016-03-02,2016,3,2,Wednesday,09,2016-09,69.06,69.25,67.58,68.77,4450600,50.38,-0.0069315684510242725,50.78285714285714,50.57121951219512
2016-03-03,2016,3,3,Thursday,09,2016-09,68.89,70.02,68.29,69.99,3726400,51.27,0.017740335121215978,50.86000000000001,50.587857142857146
2016-03-04,2016,3,4,Friday,09,2016-09,69.54,70.78,69.32,70.62,2772700,51.73,0.009001504727149667,50.98357142857143,50.61441860465116
2016-03-07,2016,3,7,Monday,10,2016-10,70.25,71.38,70.13,71.22,2382500,52.17,0.008496188310188613,51.127857142857145,50.64977272727273
2016-03-08,2016,3,8,Tuesday,10,2016-10,71.09,71.78,70.71,71.72,3067600,52.54,0.0070205946558170584,51.26642857142857,50.69177777777778
2016-03-09,2016,3,9,Wednesday,10,2016-10,71.7,72.33,71.6,72.1,2312400,52.82,0.005298110948855683,51.425714285714285,50.73804347826086
2016-03-10,2016,3,10,Thursday,10,2016-10,72.12,72.24,71.07,71.59,2179900,52.45,-0.007073718439226218,51.57357142857143,50.774468085106385
2016-03-11,2016,3,11,Friday,10,2016-10,71.8,72.34,71.61,72.22,1880100,52.91,0.008800472555066774,51.688571428571436,50.818958333333335
2016-03-14,2016,3,14,Monday,11,2016-11,72.34,72.47,71.91,72.34,1862600,52.99,0.001661519781559706,51.80142857142857,50.86326530612245
2016-03-15,2016,3,15,Tuesday,11,2016-11,72.16,73.07,72.12,72.99,2094800,53.47,0.008985210052724346,51.93142857142857,50.9154
2016-03-16,2016,3,16,Wednesday,11,2016-11,72.75,73.8,72.09,73.56,2903000,53.89,0.007809247833663768,52.059999999999995,51.0146
2016-03-17,2016,3,17,Thursday,11,2016-11,73.76,74.9,73.36,74.55,3286500,54.61,0.013458476308672918,52.333571428571425,51.1198
2016-03-18,2016,3,18,Friday,11,2016-11,74.61,74.89,73.45,73.46,4697600,53.82,-0.014621332705254897,52.55571428571428,51.203
2016-03-21,2016,3,21,Monday,12,2016-12,73.65,73.81,72.6,73.63,2450600,53.94,0.0023145373459447782,52.785000000000004,51.288000000000004
2016-03-22,2016,3,22,Tuesday,12,2016-12,73.71,73.74,72.92,72.96,3009400,53.45,-0.009099783331083189,53.00428571428572,51.3486
