iter	Passed	Remaining
0	5	5238
1	11	5542
2	16	5355
3	21	5234
4	24	4839
5	29	4817
6	33	4807
7	39	4842
8	43	4787
9	48	4787
10	52	4762
11	57	4739
12	62	4770
13	67	4736
14	71	4711
15	76	4705
16	81	4693
17	85	4672
18	90	4666
19	94	4644
20	99	4619
21	103	4596
22	108	4593
23	112	4579
24	117	4567
25	121	4560
26	126	4545
27	130	4531
28	134	4518
29	139	4502
30	144	4506
31	149	4513
32	154	4513
33	158	4511
34	163	4509
35	168	4518
36	174	4529
37	178	4518
38	183	4531
39	190	4565
40	195	4576
41	200	4582
42	206	4588
43	211	4588
44	216	4586
45	221	4590
46	226	4590
47	232	4618
48	238	4620
49	243	4625
50	248	4632
51	255	4651
52	260	4647
53	266	4660
54	271	4658
55	275	4652
56	280	4634
57	286	4651
58	293	4676
59	299	4684
60	302	4653
61	305	4624
62	309	4607
63	314	4592
64	317	4563
65	320	4532
66	322	4492
67	324	4453
68	327	4424
69	330	4394
70	333	4367
71	336	4341
72	339	4310
73	342	4289
74	346	4277
75	350	4260
76	354	4252
77	358	4234
78	364	4247
79	368	4237
80	372	4226
81	378	4234
82	383	4240
83	386	4218
84	390	4198
85	393	4179
86	397	4167
87	400	4147
88	403	4128
89	406	4108
90	409	4088
91	412	4068
92	414	4044
93	417	4019
94	420	4002
95	423	3988
96	426	3967
97	428	3947
98	431	3929
99	434	3913
100	437	3897
101	441	3884
102	444	3867
103	447	3852
104	449	3834
105	452	3817
106	455	3803
107	458	3784
108	461	3772
109	464	3757
110	467	3743
111	470	3730
112	472	3706
113	475	3695
114	478	3679
115	480	3660
116	482	3641
117	485	3625
118	487	3611
119	490	3594
120	491	3573
121	494	3557
122	497	3549
123	501	3543
124	504	3534
125	508	3524
126	512	3524
127	516	3515
128	521	3522
129	525	3519
130	530	3516
131	535	3523
132	540	3521
133	544	3517
134	549	3522
135	552	3510
136	556	3507
137	562	3513
138	567	3512
139	571	3508
140	575	3507
141	580	3507
142	585	3506
143	589	3503
144	593	3498
145	598	3499
146	602	3496
147	606	3493
148	611	3490
149	615	3489
150	620	3487
151	624	3483
152	629	3482
153	633	3478
154	637	3478
155	642	3474
156	646	3472
157	650	3469
158	655	3464
159	659	3463
160	662	3450
161	666	3445
162	670	3441
163	674	3440
164	679	3438
165	683	3434
166	687	3430
167	692	3429
168	696	3424
169	700	3420
170	704	3417
171	709	3414
172	713	3411
173	717	3407
174	722	3407
175	727	3405
176	732	3404
177	736	3400
178	740	3398
179	744	3393
180	749	3390
181	753	3388
182	758	3385
183	762	3383
184	767	3380
185	772	3379
186	776	3375
187	781	3377
188	787	3379
189	792	3378
190	797	3378
191	803	3382
192	808	3379
193	812	3375
194	817	3373
195	821	3370
196	825	3365
197	830	3364
198	835	3364
199	840	3362
200	845	3360
201	851	3363
202	856	3361
203	861	3360
204	866	3360
205	871	3357
206	875	3353
207	880	3354
208	886	3353
209	890	3350
210	895	3350
211	901	3349
212	906	3348
213	911	3346
214	916	3345
215	921	3343
216	926	3342
217	931	3340
218	936	3339
219	940	3336
220	946	3336
221	951	3334
222	955	3330
223	961	3331
224	966	3329
225	971	3326
226	976	3324
227	981	3321
228	984	3314
229	990	3315
230	995	3313
231	1000	3310
232	1003	3303
233	1007	3298
234	1011	3292
235	1014	3283
236	1017	3276
237	1020	3268
238	1024	3261
239	1027	3253
240	1031	3250
241	1036	3246
242	1041	3244
243	1046	3241
244	1050	3238
245	1056	3237
246	1061	3235
247	1065	3231
248	1071	3230
249	1074	3224
250	1078	3219
251	1082	3212
252	1086	3206
253	1089	3200
254	1093	3195
255	1097	3189
256	1101	3185
257	1105	3180
258	1109	3175
259	1113	3169
260	1117	3164
261	1121	3159
262	1125	3154
263	1129	3149
264	1132	3140
265	1136	3135
266	1140	3130
267	1144	3127
268	1149	3123
269	1153	3117
270	1157	3113
271	1161	3107
272	1164	3102
273	1168	3096
274	1172	3090
275	1176	3086
276	1180	3081
277	1185	3077
278	1189	3074
279	1193	3069
280	1198	3066
281	1202	3060
282	1205	3055
283	1209	3050
284	1213	3044
285	1217	3040
286	1222	3036
287	1227	3034
288	1232	3032
289	1237	3030
290	1242	3027
291	1247	3024
292	1251	3019
293	1255	3015
294	1260	3012
295	1265	3008
296	1269	3005
297	1274	3002
298	1278	2998
299	1283	2993
300	1287	2989
301	1292	2986
302	1296	2982
303	1300	2978
304	1305	2974
305	1310	2971
306	1314	2968
307	1320	2966
308	1322	2957
309	1326	2953
310	1331	2950
311	1336	2948
312	1341	2944
313	1345	2939
314	1349	2935
315	1354	2931
316	1358	2927
317	1362	2922
318	1367	2918
319	1371	2914
320	1375	2909
321	1380	2905
322	1384	2901
323	1388	2897
324	1393	2893
325	1397	2889
326	1400	2883
327	1405	2878
328	1409	2874
329	1413	2870
330	1417	2865
331	1422	2862
332	1428	2860
333	1432	2855
334	1436	2851
335	1441	2848
336	1445	2843
337	1449	2838
338	1454	2835
339	1458	2831
340	1462	2827
341	1467	2822
342	1471	2817
343	1475	2812
344	1479	2808
345	1483	2803
346	1487	2799
347	1491	2795
348	1496	2791
349	1500	2787
350	1504	2782
351	1509	2778
352	1513	2774
353	1517	2769
354	1520	2762
355	1524	2758
356	1529	2754
357	1533	2749
358	1537	2745
359	1542	2741
360	1546	2736
361	1550	2732
362	1554	2728
363	1559	2724
364	1563	2720
365	1569	2718
366	1575	2716
367	1580	2714
368	1584	2710
369	1589	2706
370	1594	2702
371	1598	2697
372	1602	2693
373	1606	2688
374	1610	2684
375	1615	2680
376	1619	2675
377	1623	2671
378	1628	2668
379	1632	2664
380	1637	2660
381	1642	2656
382	1646	2652
383	1651	2648
384	1655	2644
385	1659	2640
386	1664	2636
387	1669	2632
388	1673	2627
389	1677	2623
390	1681	2619
391	1686	2615
392	1690	2610
393	1694	2606
394	1699	2603
395	1703	2598
