Experiment,numbers of worms
Expt1,279
Expt1,338
Expt1,334
Expt1,198
Expt1,303
Expt2,378
Expt2,275
Expt2,412
Expt2,265
Expt2,286
Expt3,172
Expt3,335
Expt3,335
Expt3,282
Expt3,250
Expt4,381
Expt4,346
Expt4,340
Expt4,471
Expt4,318
