Calories,trt
614.61,0
503.46,0
425.22,0
688.77,0
184,0
299.73,0
350.65,0
394.94,0
261.55,0
295.28,0
139.69,0
462.78,0
179.59,0
301.75,0
436.58,0
371.39,0
469.02,0
378.09,0
287.31,0
448.55,0
332.64,0
403.98,0
230.16,1
210.99,1
288.73,1
590.28,1
582.59,1
635.21,1
249.86,1
441.66,1
572.43,1
357.78,1
396.79,1
298.38,1
282.99,1
368.51,1
388.59,1
256.32,1
408.82,1
424.94,1
477.96,1
428.74,1
432.52,1
428.27,1
596.79,1
456.3,1
446.38,1
